globaleventid,eventtimedate,mentiontimedate,mentiontype,mentionsourcename,mentionidentifier,sentenceid,actor1charoffset,actor2charoffset,actioncharoffset,inrawtext,confidence,mentiondoclen,mentiondoctone,mentiondoctranslationinfo,extras
669477038,20170701000000,20170701234500,1,fasopresse.net,http://www.fasopresse.net/politique/5804-vie-de-la-nation-les-gardiens-de-la-tradition-a-kosyam?5e90491fecb379c63acce1d6f2f74023=a2386a947a08e9cfb45ee80e1de47279,3,405,448,419,1,100,2700,3.2967032967033,srclc:fra;eng:Moses 2.1.1 / MosesCore Europarl fr-en / GT-FRA 1.0,
669180359,20170630000000,20170701234500,1,lasprovincias.es,http://www.lasprovincias.es/comunitat/incendio-calderona-llama-20170702001333-ntvo.html,3,172,-1,223,1,100,4053,-0.84388185654008,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669477040,20170701000000,20170701234500,1,fasopresse.net,http://www.fasopresse.net/politique/5804-vie-de-la-nation-les-gardiens-de-la-tradition-a-kosyam?5e90491fecb379c63acce1d6f2f74023=a2386a947a08e9cfb45ee80e1de47279,3,448,405,419,1,100,2700,3.2967032967033,srclc:fra;eng:Moses 2.1.1 / MosesCore Europarl fr-en / GT-FRA 1.0,
669670716,20170701234500,20170701234500,1,lahora.com.ec,https://lahora.com.ec/noticia/1102080900/apagon-en-panama-en-medio-de-discurso-a-la-nacion-de-presidente-varela,6,1580,1671,1556,0,20,2831,-4.53563714902808,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669538653,20170701054500,20170701234500,1,lahora.com.ec,https://lahora.com.ec/noticia/1102080900/apagon-en-panama-en-medio-de-discurso-a-la-nacion-de-presidente-varela,6,1580,1671,1556,1,80,2831,-4.53563714902808,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669538653,20170701054500,20170701234500,1,lahora.com.ec,https://lahora.com.ec/noticia/1102080882/se-registran-19-muertos-tras-noche-de-violencia-en-norte-de-mexico,12,1558,1649,1534,1,100,2936,-5.660377358490571,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669670717,20170701234500,20170701234500,1,almmlke.com,http://www.almmlke.com/Saudi/236411/%D9%82%D8%B7%D8%B1-%D8%AA%D9%88%D8%A7%D8%AC%D9%87-%D8%AA%D9%85%D8%AF%D8%AF-%D8%A7%D9%84%D8%B9%D9%82%D9%88%D8%A8%D8%A7%D8%AA,5,1704,1669,1650,1,80,2874,-2.29885057471264,srclc:ara;eng:GT-ARA 1.0,
669670718,20170701234500,20170701234500,1,almmlke.com,http://www.almmlke.com/Saudi/236411/%D9%82%D8%B7%D8%B1-%D8%AA%D9%88%D8%A7%D8%AC%D9%87-%D8%AA%D9%85%D8%AF%D8%AF-%D8%A7%D9%84%D8%B9%D9%82%D9%88%D8%A8%D8%A7%D8%AA,5,1700,1650,1630,0,20,2874,-2.29885057471264,srclc:ara;eng:GT-ARA 1.0,
669670719,20170701234500,20170701234500,1,aleqtisady.com,http://www.aleqtisady.com/saudiarabia/tw-1009777,4,1544,1509,1490,1,100,2407,-3.95480225988701,srclc:ara;eng:GT-ARA 1.0,
669670720,20170701234500,20170701234500,1,fax.al,http://fax.al/news/10634627/ankesa-e-cuditshme-ne-polici-na-ndihmoni-na-kane-ikur-grate,9,745,-1,759,1,100,2855,-14.1860465116279,srclc:sqi;eng:GT-SQI 1.0,
669670721,20170701234500,20170701234500,1,aleqtisady.com,http://www.aleqtisady.com/arab/tw-1009785,7,1345,1406,1377,1,100,1611,-3.08370044052863,srclc:ara;eng:GT-ARA 1.0,
669471531,20170630234500,20170701234500,1,almadapaper.net,http://www.almadapaper.net/ar/news/532199/%D9%88%D8%B2%D9%8A%D8%B1-%D8%A7%D9%84%D8%AF%D9%81%D8%A7%D8%B9-%D8%A7%D9%84%D9%82%D8%B7%D8%B1%D9%8A-%D9%8A%D9%84%D8%AA%D9%82%D9%8A-%D8%A3%D8%B1%D8%AF%D9%88%D8%BA%D8%A7%D9%86-%D9%88%D8%AF%D9%81%D8%B9%D8%A7%D8%AA-,15,2397,2435,2392,0,50,4461,-0.81566068515497,srclc:ara;eng:GT-ARA 1.0,
669670722,20170701234500,20170701234500,1,almadapaper.net,http://www.almadapaper.net/ar/news/532199/%D9%88%D8%B2%D9%8A%D8%B1-%D8%A7%D9%84%D8%AF%D9%81%D8%A7%D8%B9-%D8%A7%D9%84%D9%82%D8%B7%D8%B1%D9%8A-%D9%8A%D9%84%D8%AA%D9%82%D9%8A-%D8%A3%D8%B1%D8%AF%D9%88%D8%BA%D8%A7%D9%86-%D9%88%D8%AF%D9%81%D8%B9%D8%A7%D8%AA-,15,2413,2453,2392,0,10,4461,-0.81566068515497,srclc:ara;eng:GT-ARA 1.0,
669471536,20170630234500,20170701234500,1,almadapaper.net,http://www.almadapaper.net/ar/news/532199/%D9%88%D8%B2%D9%8A%D8%B1-%D8%A7%D9%84%D8%AF%D9%81%D8%A7%D8%B9-%D8%A7%D9%84%D9%82%D8%B7%D8%B1%D9%8A-%D9%8A%D9%84%D8%AA%D9%82%D9%8A-%D8%A3%D8%B1%D8%AF%D9%88%D8%BA%D8%A7%D9%86-%D9%88%D8%AF%D9%81%D8%B9%D8%A7%D8%AA-,15,2436,2444,2392,1,20,4461,-0.81566068515497,srclc:ara;eng:GT-ARA 1.0,
669670723,20170701234500,20170701234500,1,aleqtisady.com,http://www.aleqtisady.com/saudiarabia/tw-1009777,4,1509,1544,1490,1,80,2407,-3.95480225988701,srclc:ara;eng:GT-ARA 1.0,
669670723,20170701234500,20170701234500,1,almmlke.com,http://www.almmlke.com/Saudi/236411/%D9%82%D8%B7%D8%B1-%D8%AA%D9%88%D8%A7%D8%AC%D9%87-%D8%AA%D9%85%D8%AF%D8%AF-%D8%A7%D9%84%D8%B9%D9%82%D9%88%D8%A8%D8%A7%D8%AA,5,1669,1704,1650,1,80,2874,-2.29885057471264,srclc:ara;eng:GT-ARA 1.0,
669670724,20170701234500,20170701234500,1,aleqtisady.com,http://www.aleqtisady.com/saudiarabia/tw-1009777,4,1490,1540,1470,0,20,2407,-3.95480225988701,srclc:ara;eng:GT-ARA 1.0,
669670724,20170701234500,20170701234500,1,almmlke.com,http://www.almmlke.com/Saudi/236411/%D9%82%D8%B7%D8%B1-%D8%AA%D9%88%D8%A7%D8%AC%D9%87-%D8%AA%D9%85%D8%AF%D8%AF-%D8%A7%D9%84%D8%B9%D9%82%D9%88%D8%A8%D8%A7%D8%AA,5,1650,1700,1630,0,20,2874,-2.29885057471264,srclc:ara;eng:GT-ARA 1.0,
669670725,20170701234500,20170701234500,1,lahora.com.ec,https://lahora.com.ec/noticia/1102080900/apagon-en-panama-en-medio-de-discurso-a-la-nacion-de-presidente-varela,6,1671,1580,1591,0,20,2831,-4.53563714902808,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669538664,20170701054500,20170701234500,1,lahora.com.ec,https://lahora.com.ec/noticia/1102080900/apagon-en-panama-en-medio-de-discurso-a-la-nacion-de-presidente-varela,6,1671,1580,1591,0,20,2831,-4.53563714902808,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669538664,20170701054500,20170701234500,1,lahora.com.ec,https://lahora.com.ec/noticia/1102080882/se-registran-19-muertos-tras-noche-de-violencia-en-norte-de-mexico,12,1649,1558,1569,0,40,2936,-5.660377358490571,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669538665,20170701054500,20170701234500,1,lahora.com.ec,https://lahora.com.ec/noticia/1102080900/apagon-en-panama-en-medio-de-discurso-a-la-nacion-de-presidente-varela,6,1671,1580,1591,1,60,2831,-4.53563714902808,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669538665,20170701054500,20170701234500,1,lahora.com.ec,https://lahora.com.ec/noticia/1102080882/se-registran-19-muertos-tras-noche-de-violencia-en-norte-de-mexico,12,1649,1558,1569,1,60,2936,-5.660377358490571,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669670726,20170701234500,20170701234500,1,lahora.com.ec,https://lahora.com.ec/noticia/1102080900/apagon-en-panama-en-medio-de-discurso-a-la-nacion-de-presidente-varela,6,1671,1580,1618,0,10,2831,-4.53563714902808,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669538666,20170701054500,20170701234500,1,lahora.com.ec,https://lahora.com.ec/noticia/1102080900/apagon-en-panama-en-medio-de-discurso-a-la-nacion-de-presidente-varela,6,1671,1580,1618,1,70,2831,-4.53563714902808,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669538666,20170701054500,20170701234500,1,lahora.com.ec,https://lahora.com.ec/noticia/1102080882/se-registran-19-muertos-tras-noche-de-violencia-en-norte-de-mexico,12,1649,1558,1596,1,80,2936,-5.660377358490571,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669670727,20170701234500,20170701234500,1,lahora.com.ec,https://lahora.com.ec/noticia/1102080900/apagon-en-panama-en-medio-de-discurso-a-la-nacion-de-presidente-varela,6,1671,1688,1618,0,10,2831,-4.53563714902808,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669538667,20170701054500,20170701234500,1,lahora.com.ec,https://lahora.com.ec/noticia/1102080900/apagon-en-panama-en-medio-de-discurso-a-la-nacion-de-presidente-varela,6,1671,1688,1618,0,10,2831,-4.53563714902808,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669538667,20170701054500,20170701234500,1,lahora.com.ec,https://lahora.com.ec/noticia/1102080882/se-registran-19-muertos-tras-noche-de-violencia-en-norte-de-mexico,12,1649,1666,1596,0,10,2936,-5.660377358490571,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669436151,20170630203000,20170701234500,1,lahora.com.ec,https://lahora.com.ec/noticia/1102080882/se-registran-19-muertos-tras-noche-de-violencia-en-norte-de-mexico,12,1649,1666,1596,0,10,2936,-5.660377358490571,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669569513,20170701100000,20170701234500,1,lopinion.ma,http://www.lopinion.ma/def.asp?codelangue=23&id_info=56624,1,-1,677,643,1,100,5824,0.9533898305084699,srclc:fra;eng:Moses 2.1.1 / MosesCore Europarl fr-en / GT-FRA 1.0,
669670728,20170701234500,20170701234500,1,tv5monde.com,http://information.tv5monde.com/afrique/g5-sahel-lancement-officiel-de-la-force-antiterroriste-bamako-178328,17,-1,4308,4275,1,100,8000,-2.25056264066017,srclc:fra;eng:Moses 2.1.1 / MosesCore Europarl fr-en / GT-FRA 1.0,
669472355,20170701000000,20170701234500,1,unitaangola.org,http://www.unitaangola.org/PT/Tableacordo.awp?AWPIDA93CD5D0=72EA5168D8B73B78759EDB15551D59210B11467B,4,-1,1527,1487,0,40,2823,0.0,srclc:por;eng:GT-POR 1.0,
669472355,20170701000000,20170701234500,1,unitaangola.org,http://www.unitaangola.org/PT/TableComunicado.awp?AWPIDA93CD5D0=72EA5168D8B73B78759EDB15551D59210B11467B,6,-1,1894,1854,0,40,3195,-0.3921568627451,srclc:por;eng:GT-POR 1.0,
669472355,20170701000000,20170701234500,1,unitaangola.org,http://www.unitaangola.org/PT/TableDiscurso.awp?AWPIDA93CD5D0=72EA5168D8B73B78759EDB15551D59210B11467B,6,-1,2249,2209,0,40,3548,0.35778175313059,srclc:por;eng:GT-POR 1.0,
669472355,20170701000000,20170701234500,1,unitaangola.org,http://www.unitaangola.org/PT/Tableestatutos1.awp?AWPIDA93CD5D0=72EA5168D8B73B78759EDB15551D59210B11467B,4,-1,1548,1508,0,40,2841,-0.42553191489361,srclc:por;eng:GT-POR 1.0,
669472355,20170701000000,20170701234500,1,unitaangola.org,http://www.unitaangola.org/PT/PagNewsletform.awp?AWPIDA93CD5D0=72EA5168D8B73B78759EDB15551D59210B11467B,4,-1,1402,1362,0,40,2678,-0.45045045045045,srclc:por;eng:GT-POR 1.0,
669670729,20170701234500,20170701234500,1,wakionline.com,http://www.wakionline.com/economy/78291.html,7,-1,5021,4759,0,20,6474,-0.77821011673151,srclc:ara;eng:GT-ARA 1.0,
669609010,20170701153000,20170701234500,1,albayan.ae,http://www.albayan.ae/economy/local-market/2017-07-02-1.2992789,7,-1,4756,4494,0,20,5444,-1.6298020954598302,srclc:ara;eng:GT-ARA 1.0,
669593885,20170701133000,20170701234500,1,albayan.ae,http://www.albayan.ae/economy/local-market/2017-07-02-1.2992557,1,-1,41,62,1,100,813,-6.25,srclc:ara;eng:GT-ARA 1.0,
669670730,20170701234500,20170701234500,1,ambito.com,http://www.ambito.com/888505-candidatos-de-unidad-ciudadana-en-campana-por-la-provincia-de-buenos-aires,16,-1,3404,3342,0,40,4124,-2.86532951289398,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669510389,20170701030000,20170701234500,1,ilfriuli.it,http://www.ilfriuli.it/articolo/Cronaca/Un_anno_dalla_strage_di_Dacca/2/168379,1,-1,35,72,1,20,1404,-2.9045643153527005,srclc:ita;eng:GT-ITA 1.0,
669648385,20170701201500,20170701234500,1,folhavitoria.com.br,http://www.folhavitoria.com.br/politica/noticia/2017/07/de-tornozeleira-ex-deputado-flagrado-com-mala-de-dinheiro-chega-a-sua-casa-em-area-nobre-de-brasilia.html,1,-1,93,61,1,100,1496,-0.42918454935622996,srclc:por;eng:GT-POR 1.0,
669670731,20170701234500,20170701234500,1,source-7.com,http://www.source-7.com/Msr/756813.html,4,-1,1346,1363,1,60,2744,1.77215189873418,srclc:ara;eng:GT-ARA 1.0,
669670732,20170701234500,20170701234500,1,source-7.com,http://www.source-7.com/Msr/756813.html,4,-1,1346,1363,0,40,2744,1.77215189873418,srclc:ara;eng:GT-ARA 1.0,
669651730,20170701203000,20170701234500,1,taringa.net,https://www.taringa.net/posts/noticias/19935626/Confirman-la-fusion-de-Cablevision-y-Telecom.html,12,-1,3907,3974,1,100,14557,0.5826050769871,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669664378,20170701230000,20170701234500,1,libyaakhbar.com,http://www.libyaakhbar.com/libya-news/370302.html,3,-1,346,318,1,100,1233,-6.32183908045977,srclc:ara;eng:GT-ARA 1.0,
669663467,20170701224500,20170701234500,1,kaliningrad.kp.ru,http://www.kaliningrad.kp.ru/daily/26699.7/3723289/,17,-1,8214,8191,1,100,22998,-2.82762370853725,srclc:rus;eng:Moses 2.1.1 / MosesCore Europarl ru-en / GT-RUS 1.0,
669670733,20170701234500,20170701234500,1,newspettacolo.com,http://www.newspettacolo.com/news/view/193119-16_festival_internazionale_sul_filo_del_circo_parco,13,-1,6359,6403,1,100,10041,3.27552986512524,srclc:ita;eng:GT-ITA 1.0,
669658315,20170701214500,20170701234500,1,alghad.com,http://www.alghad.com/articles/1693232-%D8%B4%D8%B1%D9%83%D8%A9-%D8%B3%D8%B1%D9%89-%D8%AA%D8%A8%D8%AF%D8%A3-%D9%85%D8%B4%D8%B1%D9%88%D8%B9%D8%A7-%D8%B9%D9%82%D8%A7%D8%B1%D9%8A%D8%A7-%D8%B6%D8%AE%D9%85%D8%A7?s=ea39cd9035b326adfa788c999742dce5,1,-1,233,210,1,100,1943,0.71942446043166,srclc:ara;eng:GT-ARA 1.0,
669472533,20170701000000,20170701234500,1,acento.com.do,http://acento.com.do/2017/economia/8470789-conacerd-denuncia-585-negocios-perjudicados-decomisos-leche-polvo-granel/,1,-1,267,255,1,100,2803,-0.6711409395973199,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669624582,20170701164500,20170701234500,1,news.online.ua,https://news.online.ua/dnipro/275745376/shveytsariyu-tryazhnulo-silneyshee-za-poslednie-10-let-zemletryasenie/,1,-1,517,506,1,100,908,0.75757575757576,srclc:rus;eng:GT-RUS 1.0,
669553550,20170701080000,20170701234500,1,lematin.ch,http://www.lematin.ch/suisse/La-police-interdit-un-concert-d-extreme-droite/story/17697405,10,-1,1149,1157,0,60,1350,-4.62962962962963,srclc:fra;eng:Moses 2.1.1 / MosesCore Europarl fr-en / GT-FRA 1.0,
669670734,20170701234500,20170701234500,1,almadapaper.net,http://www.almadapaper.net/ar/news/532161/%D9%84%D9%8A%D9%83%D9%86-%D8%A7%D9%84%D8%A3%D8%B9%D9%84%D8%A7%D9%86-%D8%B9%D9%86-%D8%A7%D9%84%D9%86%D8%B5%D8%B1-%D9%8A%D9%88%D9%85%D8%A7-%D8%B3%D9%86,5,-1,3753,3736,1,100,7860,1.2216404886561898,srclc:ara;eng:GT-ARA 1.0,
669494707,20170701011500,20170701234500,1,tvperu.gob.pe,http://www.tvperu.gob.pe/informa/politica/i-gabinete-ministerial-binacional-peru-chile-se-realizara-en-lima,5,-1,924,885,1,100,1002,0.6369426751592341,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669534532,20170701051500,20170701234500,1,blogs.com,http://macua.blogs.com/moambique_para_todos/2017/07/xiconhoquices-da-semana-chineses-que-praticam-crimes-em-mo%C3%A7ambique-apoio-do-governo-a-auditoria-sobre-factura%C3%A7%C3%A3o-na-pro.html,4,-1,1382,1429,1,100,5089,-5.15723270440251,srclc:por;eng:GT-POR 1.0,
669670735,20170701234500,20170701234500,1,blogs.com,http://macua.blogs.com/moambique_para_todos/2017/07/xiconhoquices-da-semana-chineses-que-praticam-crimes-em-mo%C3%A7ambique-apoio-do-governo-a-auditoria-sobre-factura%C3%A7%C3%A3o-na-pro.html,11,-1,4018,4080,0,20,5089,-5.15723270440251,srclc:por;eng:GT-POR 1.0,
669482974,20170701001500,20170701234500,1,blogs.com,http://macua.blogs.com/moambique_para_todos/2017/07/xiconhoquices-da-semana-chineses-que-praticam-crimes-em-mo%C3%A7ambique-apoio-do-governo-a-auditoria-sobre-factura%C3%A7%C3%A3o-na-pro.html,11,-1,4018,4065,1,80,5089,-5.15723270440251,srclc:por;eng:GT-POR 1.0,
669527944,20170701044500,20170701234500,1,india.com,http://zeenews.india.com/hindi/world/xi-jinping-warn-challenge-on-china-sovereignty-in-hong-kong-like-cross-limit/331668,1,-1,311,261,1,80,2162,-4.39024390243903,srclc:hin;eng:GT-HIN 1.0,
669527945,20170701044500,20170701234500,1,india.com,http://zeenews.india.com/hindi/world/xi-jinping-warn-challenge-on-china-sovereignty-in-hong-kong-like-cross-limit/331668,2,-1,564,514,1,80,2162,-4.39024390243903,srclc:hin;eng:GT-HIN 1.0,
669563897,20170701094500,20170701234500,1,india.com,http://zeenews.india.com/hindi/world/xi-jinping-warn-challenge-on-china-sovereignty-in-hong-kong-like-cross-limit/331668,2,-1,564,514,0,20,2162,-4.39024390243903,srclc:hin;eng:GT-HIN 1.0,
669545914,20170701064500,20170701234500,1,india.com,http://zeenews.india.com/hindi/world/xi-jinping-warn-challenge-on-china-sovereignty-in-hong-kong-like-cross-limit/331668,2,-1,564,514,0,20,2162,-4.39024390243903,srclc:hin;eng:GT-HIN 1.0,
669620925,20170701163000,20170701234500,1,news1.kr,http://news1.kr/articles/?3035987,2,-1,509,557,1,100,2573,-0.24509803921569,srclc:kor;eng:GT-KOR 1.0,
669539861,20170701060000,20170701234500,1,taringa.net,http://www.taringa.net/posts/info/19935774/Los-catolicos-adoran-a-la-Virgen-Maria.html,26,-1,5129,5114,1,100,7521,-0.07235890014472,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669670736,20170701234500,20170701234500,1,hs.fi,http://www.hs.fi/paakirjoitukset/art-2000005275845.html,3,-1,616,590,1,100,1094,-2.8248587570621497,srclc:fin;eng:GT-FIN 1.0,
669494708,20170701011500,20170701234500,1,elespectador.com,http://www.elespectador.com/noticias/bogota/docentes-de-bogota-podrian-volver-paro-si-no-se-resuelve-lio-con-la-reposicion-de-clases-articulo-701040,2,-1,113,126,1,100,2563,2.09302325581396,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669670737,20170701234500,20170701234500,1,lahora.com.ec,https://lahora.com.ec/noticia/1102080900/apagon-en-panama-en-medio-de-discurso-a-la-nacion-de-presidente-varela,5,-1,1511,1502,0,20,2831,-4.53563714902808,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669538921,20170701054500,20170701234500,1,lahora.com.ec,https://lahora.com.ec/noticia/1102080900/apagon-en-panama-en-medio-de-discurso-a-la-nacion-de-presidente-varela,5,-1,1511,1502,1,80,2831,-4.53563714902808,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669538921,20170701054500,20170701234500,1,lahora.com.ec,https://lahora.com.ec/noticia/1102080882/se-registran-19-muertos-tras-noche-de-violencia-en-norte-de-mexico,11,-1,1489,1480,1,100,2936,-5.660377358490571,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669670738,20170701234500,20170701234500,1,vanguardia.com,http://www.vanguardia.com/deportes/tour-de-francia/402307-quintana-advierte-que-todavia-no-hemos-perdido-nada-en-el-tour,2,-1,97,86,0,40,1643,-4.06779661016949,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669670739,20170701234500,20170701234500,1,lasprovincias.es,http://www.lasprovincias.es/comunitat/siria-volvere-vacaciones-20170702001331-ntvo.html,13,-1,1602,1643,1,100,4906,-0.7838745800671801,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669477086,20170701000000,20170701234500,1,fasopresse.net,http://www.fasopresse.net/societe/5809-a-70-ans-elles-ecopent-de-deux-mois-de-prison-ferme?5e90491fecb379c63acce1d6f2f74023=a2386a947a08e9cfb45ee80e1de47279,1,-1,52,30,1,100,3286,-5.11363636363637,srclc:fra;eng:Moses 2.1.1 / MosesCore Europarl fr-en / GT-FRA 1.0,
